,Keyword,Campaign ID,Campaign,Ad Group ID,Ad Group,Impressions,Clicks,Conversions,Spend,CTR,Avg CPC,Conv Rate,CPA,Health Score,Status,Category,Recommended Action,Priority,Total Spend,Total Conversions,Total Clicks,Last Updated
36,amarres de amor efectivos y rapidos y sencillos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,60,3,1,66043,5,22014.33,33.33,66043,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.67941+00:00
37,amarres de amor en,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,211,13,1,142502.15,6.16,10961.7,7.69,142502.15,,,,,,,,,
69,brujeria buena,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,46,1,1,15402,2.17,15402,100,15402,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.80889+00:00
70,brujeria buena,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,46,1,1,15402,2.17,15402,100,15402,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679471+00:00
129,brujos de catemacos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,59,3,1,58515.27,5.08,19505.09,33.33,58515.27,,,,,,,,,
138,brujos gratis,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,6,1,1,44305,16.67,44305,100,44305,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808933+00:00
139,brujos gratis,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,6,1,1,44305,16.67,44305,100,44305,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679529+00:00
155,como atraer a una mujer,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,33,1,1,8105,3.03,8105,100,8105,,,,,,,,,
161,como hacer brujeria,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,133,10,1,112474.68,7.52,11247.47,10,112474.68,,,,,,,,,
179,curanderas cerca de mi,12039330140,MAESTROS CAVIEDES vieja,114885404101,curandero,73,7,1,148757,9.59,21251,14.29,148757,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808944+00:00
180,curanderas cerca de mi,12039330140,MAESTROS CAVIEDES vieja,114885404101,curandero,73,7,1,148757,9.59,21251,14.29,148757,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679544+00:00
183,curandero en,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,40,2,1,12285,5,6142.5,50,12285,,,,,,,,,
206,hechizo poderoso,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,68,3,1,33872,4.41,11290.67,33.33,33872,,,,,,,,,
212,hechizos de amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,141,6,1,48305.01,4.26,8050.83,16.67,48305.01,,,,,,,,,
218,hechizos efectivos,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,228,6,1,41639.73,2.63,6939.96,16.67,41639.73,,,,,,,,,
219,hechizos gratis,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,2,1,1,50047,50,50047,100,50047,,,,,,,,,
220,hechizos para atraer,23009021436,Pagina 5 - Ruben,183136454377,gpt1,6,2,1,25052,33.33,12526,50,25052,,,,,,,,,
232,la brujeria,23009021436,Pagina 5 - Ruben,183136454577,nuevo,39,4,1,38860.45,10.26,9715.11,25,38860.45,,,,,,,,,
244,magia negra para enamorar a una mujer,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,11,2,1,22602,18.18,11301,50,22602,,,,,,,,,
265,quitar brujeria,23009021436,Pagina 5 - Ruben,183136454777,contra la brujeria,59,7,1,42932.39,11.86,6133.2,14.29,42932.39,,,,,,,,,
