,Keyword,Campaign ID,Campaign,Ad Group ID,Ad Group,Impressions,Clicks,Conversions,Spend,CTR,Avg CPC,Conv Rate,CPA,Health Score,Status,Category,Recommended Action,Priority,Total Spend,Total Conversions,Total Clicks,Last Updated
124,brujos de amarres,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,8,1,0,15542.66,12.5,15542.66,0,0,,,,,,,,,
125,brujos de amarres,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,42,2,0,49421.47,4.76,24710.74,0,0,,,,,,,,,
126,brujos de catemaco,23009021436,Pagina 5 - Ruben,183136454097,gen1,4,0,0,0,0,0,0,0,,,,,,,,,
127,brujos de catemaco,23009021436,Pagina 5 - Ruben,183136454377,gpt1,9,1,0,19134,11.11,19134,0,0,,,,,,,,,
128,brujos de catemaco,23009021436,Pagina 5 - Ruben,183136454577,nuevo,12,1,0,29272,8.33,29272,0,0,,,,,,,,,
130,brujos de magia negra,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,62,4,0,34312,6.45,8578,0,0,,,,,,,,,
131,brujos de niquinohomo nicaragua,23009021436,Pagina 5 - Ruben,183136454537,nicaragua,9,4,0,80952,44.44,20238,0,0,,,,,,,,,
133,brujos en,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,45,1,0,8653,2.22,8653,0,0,,,,,,,,,
134,brujos en el salvador,23009021436,Pagina 5 - Ruben,183136455297,salvador,80,8,0,83539.75,10,10442.47,0,0,,,,,,,,,
135,brujos en linea,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.80893+00:00
136,brujos en linea,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679524+00:00
137,brujos en new york,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,0,0,0,0,0,0,0,,,,,,,,,
140,brujos magia negra,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,20,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808937+00:00
141,brujos magia negra,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,20,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679533+00:00
142,brujos magia negra,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,72,9,0,127000,12.5,14111.11,0,0,,,,,,,,,
143,brujos magia negra,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,107,1,0,4291,0.93,4291,0,0,,,,,,,,,
144,brujos nicaragua,23009021436,Pagina 5 - Ruben,183136454537,nicaragua,45,5,0,96063.25,11.11,19212.65,0,0,,,,,,,,,
145,brujos para amarres,23009021436,Pagina 5 - Ruben,183136454097,gen1,1,0,0,0,0,0,0,0,,,,,,,,,
146,brujos poderosos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,1,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.80894+00:00
147,brujos poderosos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,1,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679538+00:00
148,brujos venezolanos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,2,0,34862,100,17431,0,0,,,,,,,,,
151,brujos y santeros,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,1,0,0,0,0,0,0,0,,,,,,,,,
152,chamanes en el salvador,23009021436,Pagina 5 - Ruben,183136455297,salvador,34,3,0,21886,8.82,7295.33,0,0,,,,,,,,,
153,chamanes poderosos,23009021436,Pagina 5 - Ruben,183136454377,gpt1,8,2,0,29224,25,14612,0,0,,,,,,,,,
156,como conquistar a mujer,23009021436,Pagina 5 - Ruben,183136454857,como enamorar mujer,2,1,0,8147,50,8147,0,0,,,,,,,,,
157,como conquistar una mujer,23009021436,Pagina 5 - Ruben,183136454857,como enamorar mujer,17,1,0,5005,5.88,5005,0,0,,,,,,,,,
158,como eliminar la brujeria,23009021436,Pagina 5 - Ruben,183136454577,nuevo,13,3,0,15351.46,23.08,5117.15,0,0,,,,,,,,,
159,como enamorar a una mujer,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,4,0,0,0,0,0,0,0,,,,,,,,,
160,como enamorar a una mujer rápido,23009021436,Pagina 5 - Ruben,183136454857,como enamorar mujer,1,0,0,0,0,0,0,0,,,,,,,,,
162,como hacer hechizos,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,101,2,0,16331,1.98,8165.5,0,0,,,,,,,,,
163,como hacer un amarre de amor en casa gratis,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,3,1,0,9862,33.33,9862,0,0,,,,,,,,,
164,como hacer un endulzamiento de amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
165,como saber si a mi esposo le hicieron brujeria,23009021436,Pagina 5 - Ruben,183136455017,como saber si te hicieron brujería,7,0,0,0,0,0,0,0,,,,,,,,,
166,como saber si te hicieron brujería,23009021436,Pagina 5 - Ruben,183136455017,como saber si te hicieron brujería,5,0,0,0,0,0,0,0,,,,,,,,,
167,conjuro de amor,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,23,2,0,29450,8.7,14725,0,0,,,,,,,,,
168,conjuro para el amor,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,1,0,0,0,0,0,0,0,,,,,,,,,
169,conjuro para la suerte,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,5,0,0,0,0,0,0,0,,,,,,,,,
170,conjuro para que vuelva,23009021436,Pagina 5 - Ruben,183136454297,opta,1,0,0,0,0,0,0,0,,,,,,,,,
171,conjuros de amarre,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,2,0,0,0,0,0,0,0,,,,,,,,,
172,conjuros magia blanca,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
174,consulta de brujeria,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,30,1,0,8395,3.33,8395,0,0,,,,,,,,,
176,consulta de santeria,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,1,0,0,0,0,0,0,0,,,,,,,,,
177,consultas de brujos,23009021436,Pagina 5 - Ruben,183136455057,consultas psíquicos y videntes,37,0,0,0,0,0,0,0,,,,,,,,,
178,contra la brujeria,23009021436,Pagina 5 - Ruben,183136454777,contra la brujeria,1,0,0,0,0,0,0,0,,,,,,,,,
188,curanderos cerca de mi,23009021436,Pagina 5 - Ruben,183136454137,curanderos,38,1,0,3356,2.63,3356,0,0,,,,,,,,,
189,endulzamientos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808953+00:00
190,endulzamientos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679556+00:00
192,hacer hechizos,23009021436,Pagina 5 - Ruben,183136454577,nuevo,1,0,0,0,0,0,0,0,,,,,,,,,
193,hechizo brujeria,23009021436,Pagina 5 - Ruben,183136454337,rituales de amor,6,1,0,9251.59,16.67,9251.59,0,0,,,,,,,,,
194,hechizo de magia,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
195,hechizo para amarrar a una mujer,23009021436,Pagina 5 - Ruben,183136454577,nuevo,1,0,0,0,0,0,0,0,,,,,,,,,
196,hechizo para amarrar un hombre,23009021436,Pagina 5 - Ruben,183136454377,gpt1,2,0,0,0,0,0,0,0,,,,,,,,,
197,hechizo para hacer,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
198,hechizo para que alguien se enamore de mi,23009021436,Pagina 5 - Ruben,183136454337,rituales de amor,1,0,0,0,0,0,0,0,,,,,,,,,
199,hechizo para que me llame,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,2,0,0,0,0,0,0,0,,,,,,,,,
200,hechizo para que regrese,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,5,0,0,0,0,0,0,0,,,,,,,,,
201,hechizo para que se enamore,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,3,0,0,0,0,0,0,0,,,,,,,,,
202,hechizo para que un hombre te busque,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,2,0,0,0,0,0,0,0,,,,,,,,,
203,hechizo para que vuelva a mi,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,1,0,0,0,0,0,0,0,,,,,,,,,
204,hechizo para separar,23009021436,Pagina 5 - Ruben,183136454377,gpt1,3,0,0,0,0,0,0,0,,,,,,,,,
205,hechizo para tener relaciones,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,2,0,0,0,0,0,0,0,,,,,,,,,
207,hechizos amor,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,36,2,0,19687.4,5.56,9843.7,0,0,,,,,,,,,
208,hechizos blancos,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,2,0,0,0,0,0,0,0,,,,,,,,,
211,hechizos de amarres,23009021436,Pagina 5 - Ruben,183136454377,gpt1,4,0,0,0,0,0,0,0,,,,,,,,,
213,hechizos de amor gratis,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,1,0,0,0,0,0,0,0,,,,,,,,,
214,hechizos de brujas,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,1,0,0,0,0,0,0,0,,,,,,,,,
215,hechizos de brujería,23009021436,Pagina 5 - Ruben,183136454577,nuevo,14,0,0,0,0,0,0,0,,,,,,,,,
216,hechizos de magia,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,20,0,0,0,0,0,0,0,,,,,,,,,
217,hechizos de magia negra,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,6,0,0,0,0,0,0,0,,,,,,,,,
221,hechizos para el amor,23009021436,Pagina 5 - Ruben,183136454377,gpt1,25,3,0,52674,12,17558,0,0,,,,,,,,,
222,hechizos para enamorar a una mujer,23009021436,Pagina 5 - Ruben,183136454377,gpt1,1,0,0,0,0,0,0,0,,,,,,,,,
223,hechizos para hacer,23009021436,Pagina 5 - Ruben,183136454577,nuevo,1,0,0,0,0,0,0,0,,,,,,,,,
224,hechizos para hacer el amor,23009021436,Pagina 5 - Ruben,183136454337,rituales de amor,6,0,0,0,0,0,0,0,,,,,,,,,
225,hechizos para tener suerte,23009021436,Pagina 5 - Ruben,183136454577,nuevo,2,0,0,0,0,0,0,0,,,,,,,,,
226,hechizos rapidos,23009021436,Pagina 5 - Ruben,183136454377,gpt1,4,0,0,0,0,0,0,0,,,,,,,,,
227,hechizos rituales,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,2,0,0,0,0,0,0,0,,,,,,,,,
228,hechizos y conjuros,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,5,0,0,0,0,0,0,0,,,,,,,,,
229,hechizos y conjuros de amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
230,hechizos y rituales,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,4,0,0,0,0,0,0,0,,,,,,,,,
233,la brujeria existe,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,1,1,0,4431,100,4431,0,0,,,,,,,,,
234,la magia blanca,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,5,0,0,0,0,0,0,0,,,,,,,,,
235,la magia negra,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,2,0,0,0,0,0,0,0,,,,,,,,,
237,limpiar brujeria,23009021436,Pagina 5 - Ruben,183136454777,contra la brujeria,11,1,0,9238,9.09,9238,0,0,,,,,,,,,
238,los curanderos,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,9,0,0,0,0,0,0,0,,,,,,,,,
239,magia amor,23009021436,Pagina 5 - Ruben,183136454577,nuevo,3,0,0,0,0,0,0,0,,,,,,,,,
240,magia amorosa,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,3,0,0,0,0,0,0,0,,,,,,,,,
241,magia blanca gratis,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,57,2,0,15751,3.51,7875.5,0,0,,,,,,,,,
242,magia blanca y roja,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,4,0,0,0,0,0,0,0,,,,,,,,,
243,magia negra para enamorar,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,3,0,0,0,0,0,0,0,,,,,,,,,
245,magia negra para ganar dinero,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,2,0,0,0,0,0,0,0,,,,,,,,,
246,magia oscura,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,5,0,0,0,0,0,0,0,,,,,,,,,
247,magia para atraer el amor,23009021436,Pagina 5 - Ruben,183136454577,nuevo,1,1,0,9238,100,9238,0,0,,,,,,,,,
248,magia para el amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,6,0,0,0,0,0,0,0,,,,,,,,,
249,magia para la buena suerte,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,65,1,0,13370,1.54,13370,0,0,,,,,,,,,
250,me hacen brujeria,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
251,mejores amarres de amor,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,1,0,0,0,0,0,0,0,,,,,,,,,
252,mejores brujos,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,15,1,0,9532,6.67,9532,0,0,,,,,,,,,
253,negra magia,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,6,0,0,0,0,0,0,0,,,,,,,,,
254,oraciones poderosas para el amor,23009021436,Pagina 5 - Ruben,183136454337,rituales de amor,1,0,0,0,0,0,0,0,,,,,,,,,
255,oración para atraer el amor,23009021436,Pagina 5 - Ruben,183136454337,rituales de amor,1,0,0,0,0,0,0,0,,,,,,,,,
256,oración para atraer el amor de tu vida,23009021436,Pagina 5 - Ruben,183136454337,rituales de amor,14,0,0,0,0,0,0,0,,,,,,,,,
257,oración para atraer el amor verdadero,23009021436,Pagina 5 - Ruben,183136454337,rituales de amor,1,0,0,0,0,0,0,0,,,,,,,,,
258,para atraer el amor de tu vida,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,1,0,0,0,0,0,0,0,,,,,,,,,
259,para hacer brujeria,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,11,0,0,0,0,0,0,0,,,,,,,,,
260,para que regrese el ser amado,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,12,2,0,19257.52,16.67,9628.76,0,0,,,,,,,,,
261,para quitar brujeria,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,2,0,0,0,0,0,0,0,,,,,,,,,
262,pasos para hacer un amarre de amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
264,psíquicos en linea,23009021436,Pagina 5 - Ruben,183136455057,consultas psíquicos y videntes,7,0,0,0,0,0,0,0,,,,,,,,,
266,realmente funcionan los amarres de amor,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,1,0,0,0,0,0,0,0,,,,,,,,,
269,ritual con vela roja,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,1,0,0,0,0,0,0,0,,,,,,,,,
270,ritual de amarre de amor,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,7,1,0,11070,14.29,11070,0,0,,,,,,,,,
271,ritual de amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,25,6,0,41484.22,24,6914.04,0,0,,,,,,,,,
272,ritual de atraccion,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,1,0,0,0,0,0,0,0,,,,,,,,,
273,ritual magia,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,1,0,0,0,0,0,0,0,,,,,,,,,
274,ritual para atraer a una persona,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
275,ritual para atraer la buena suerte,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
276,ritual para el amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,52,1,0,9452,1.92,9452,0,0,,,,,,,,,
277,ritual para enamorar,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
278,ritual para enamorar a alguien,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,15,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808973+00:00
279,ritual para enamorar a alguien,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,15,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679583+00:00
280,ritual para encontrar el amor,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,2,0,0,0,0,0,0,0,,,,,,,,,
281,ritual para encontrar pareja,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,2,0,0,0,0,0,0,0,,,,,,,,,
282,ritual para hacer el amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
283,ritual para parejas,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,2,0,0,0,0,0,0,0,,,,,,,,,
284,ritual para que se enamore de ti,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,1,0,0,0,0,0,0,0,,,,,,,,,
285,ritual para quitar brujeria,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,14,2,0,18804,14.29,9402,0,0,,,,,,,,,
286,ritual para tener suerte en el amor,23009021436,Pagina 5 - Ruben,183136454337,rituales de amor,2,0,0,0,0,0,0,0,,,,,,,,,
287,rituales amor,23009021436,Pagina 5 - Ruben,183136454577,nuevo,15,4,0,62898.84,26.67,15724.71,0,0,,,,,,,,,
288,rituales brujeria,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,23,0,0,0,0,0,0,0,,,,,,,,,
294,rituales de magia,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,15,0,0,0,0,0,0,0,,,,,,,,,
295,rituales de magia negra,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,1,0,0,0,0,0,0,0,,,,,,,,,
297,rituales gratis,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,5,0,0,0,0,0,0,0,,,,,,,,,
298,rituales magia,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,66,5,0,33603.35,7.58,6720.67,0,0,,,,,,,,,
299,rituales para atraer,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,18,0,0,0,0,0,0,0,,,,,,,,,
300,rituales para enamorar a una mujer,23009021436,Pagina 5 - Ruben,183136454577,nuevo,1,0,0,0,0,0,0,0,,,,,,,,,
301,saber si me hacen brujeria,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,67,5,0,38836.1,7.46,7767.22,0,0,,,,,,,,,
302,saber si me hicieron brujeria,23009021436,Pagina 5 - Ruben,183136455017,como saber si te hicieron brujería,5,0,0,0,0,0,0,0,,,,,,,,,
303,san cipriano oracion de amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,38,0,0,0,0,0,0,0,,,,,,,,,
304,santa muerte,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,30,1,0,8157,3.33,8157,0,0,,,,,,,,,
305,santera cubana,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,1,0,0,0,0,0,0,0,,,,,,,,,
306,santeria consulta,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,14,2,0,18143.77,14.29,9071.89,0,0,,,,,,,,,
307,santeria magia negra,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,36,3,0,38646.14,8.33,12882.05,0,0,,,,,,,,,
310,santero en,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,38,4,0,26404.27,10.53,6601.07,0,0,,,,,,,,,
312,santeros cerca de mi,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,11,1,0,6856,9.09,6856,0,0,,,,,,,,,
313,santeros cubanos,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,11,0,0,0,0,0,0,0,,,,,,,,,
314,santeros haitianos,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,29,1,0,14511,3.45,14511,0,0,,,,,,,,,
320,trabajos de magia,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,4,0,0,0,0,0,0,0,,,,,,,,,
321,trabajos de magia negra,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,31,3,0,41021,9.68,13673.67,0,0,,,,,,,,,
322,un brujo,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,3,0,0,0,0,0,0,0,,,,,,,,,
323,un hechizo de amor,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,1,0,0,0,0,0,0,0,,,,,,,,,
324,un hechizo para el amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
325,velas para rituales,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,32,0,0,0,0,0,0,0,,,,,,,,,
326,vidente magia negra,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,6,0,0,0,0,0,0,0,,,,,,,,,
327,videntes de amor,23009021436,Pagina 5 - Ruben,183136455057,consultas psíquicos y videntes,11,2,0,50546,18.18,25273,0,0,,,,,,,,,
