,Campaign,Keyword,Health Score,Status,Category,Recommended Action,Priority,Total Spend,Total Conversions,Total Clicks,Conv Rate Score,CPA Score,CTR Score,Quality Score,Last Updated
39,12039330140,brujeria y hechiceria,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
40,12039330140,brujeria real,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
41,12039330140,brujeria para que regrese mi ex,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
42,12039330140,brujeria para que regrese,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
43,12039330140,brujeria para enamorar una mujer,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
44,12039330140,brujeria para enamorar a alguien,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
45,12039330140,brujeria para enamorar,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
46,12039330140,brujeria para el amor,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
47,12039330140,brujeria para amarre,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
48,12039330140,brujeria negra,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
49,12039330140,brujeria en el amor,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
